biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 86b783 68a464
biome 6 e0ffae 6a7039 6a7039
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 86b783 68a464
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 59c93c 30bb0b
biome 22 ffffff 59c93c 30bb0b
biome 23 ffffff 64c73f 3eb80f
biome 24 ffffff 8eb971 71a74d
biome 25 ffffff 8ab689 6da36b
biome 26 ffffff 83b593 64a278
biome 27 ffffff 88bb66 6ba940
biome 28 ffffff 88bb66 6ba940
biome 29 ffffff 507a32 59ae30
biome 30 ffffff 80b497 60a17b
biome 31 ffffff 80b497 60a17b
biome 32 ffffff 86b87f 68a55f
biome 33 ffffff 86b87f 68a55f
biome 34 ffffff 8ab689 6da36b
biome 35 ffffff bfb755 aea42a
biome 36 ffffff bfb755 aea42a
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 126 ffffff 8eb971 71a74d
biome 127 ffffff bfb755 aea42a
biome 129 ffffff 91bd59 77ab2f
biome 130 ffffff bfb755 aea42a
biome 131 ffffff 8ab689 6da36b
biome 132 ffffff 79c05a 59ae30
biome 133 ffffff 86b783 68a464
biome 134 e0ffae 6a7039 6a7039
biome 140 ffffff 80b497 60a17b
biome 149 ffffff 59c93c 30bb0b
biome 151 ffffff 64c73f 3eb80f
biome 155 ffffff 88bb66 6ba940
biome 156 ffffff 88bb66 6ba940
biome 157 ffffff 507a32 59ae30
biome 158 ffffff 80b497 60a17b
biome 160 ffffff 86b783 68a464
biome 161 ffffff 86b783 68a464
biome 162 ffffff 8ab689 6da36b
biome 163 ffffff bfb755 aea42a
biome 164 ffffff bfb755 aea42a
biome 165 ffffff 90814d 9e814d
biome 166 ffffff 90814d 9e814d
biome 167 ffffff 90814d 9e814d
blocktype * * normal
block 27 9 ab9a6846
block 27 10 ab9a6846
block 27 11 ab9a6846
block 27 12 ab9a6846
block 27 13 ab9a6846
block 27 14 ab9a6846
block 27 15 ab9a6846
block 28 * 9b895c50
block 28 0 9b786559
block 28 1 9b786559
block 28 2 9b786559
block 28 3 9b786559
block 28 4 9b786559
block 28 5 9b786559
block 28 6 9b786559
block 28 7 9b786559
block 29 * ff6a665f
block 29 0 ff606060
block 29 1 ff8d9263
block 29 6 ff8d9263
block 29 7 ff8d9263
block 29 8 ff606060
block 29 9 ff606060
block 29 14 ff8d9263
block 29 15 ff8d9263
block 30 * 68dcdcdc
block 31 * 517b4f19
block 31 1 a2747474
block 31 2 4e787878
block 32 * 517b4f19
block 33 * ff6a665f
block 33 0 ff606060
block 33 1 ff998159
block 33 6 ff998159
block 33 7 ff998159
block 33 8 ff606060
block 33 9 ff606060
block 33 14 ff998159
block 33 15 ff998159
block 34 * ff6a665f
block 34 0 ff998159
block 34 1 ff998159
block 34 8 ff998159
block 34 9 ff8d9263
block 35 0 ffdddddd
block 35 1 ffdb7d3e
block 35 2 ffb350bc
block 35 3 ff6a8ac9
block 35 4 ffb1a627
block 35 5 ff41ae38
block 35 6 ffd08499
block 35 7 ff404040
block 35 8 ff9aa1a1
block 35 9 ff2e6e89
block 35 10 ff7e3db5
block 35 11 ff2e388d
block 35 12 ff4f321f
block 35 13 ff35461b
block 35 14 ff963430
block 35 15 ff191616
block 36 * ff998159
block 37 * 60ffff00
block 38 * 60ff0000
block 39 * 198a6953
block 40 * 21c33538
block 41 * fff9ec4e
block 42 * ffdbdbdb
block 43 * ff7a7a7a
block 43 0 ff9f9f9f
block 43 1 ffdad29e
block 43 2 ff9c7f4e
block 43 4 ff926356
block 43 6 ff2c161a
block 43 7 ffece9e2
block 43 8 ff9f9f9f
block 43 9 ffdad29e
block 43 10 ff9c7f4e
block 43 12 ff926356
block 43 14 ff2c161a
block 43 15 ffece9e2
block 44 * ff7a7a7a
block 44 0 ff9f9f9f
block 44 1 ffdad29e
block 44 2 ff9c7f4e
block 44 4 ff926356
block 44 6 ff2c161a
block 44 7 ffece9e2
block 44 8 ff9f9f9f
block 44 9 ffdad29e
block 44 10 ff9c7f4e
block 44 12 ff926356
block 44 14 ff2c161a
block 44 15 ffece9e2
block 45 * ff926356
block 46 * ff82412f
block 47 * ff9c7f4e
block 48 * ff677967
block 49 * ff14121d
block 50 * 13826a3a
block 51 * 85cb771f
block 52 * 9b1a2731
block 53 * ff9c7f4e
block 54 * ff9c7f4e
block 55 * 35efefef
block 56 * ff818c8f
block 57 * ff61dbd5
block 58 * ff6b472a
block 59 * a6566607
block 59 1 1312ac0f
block 59 2 2b1c890b
block 59 3 4d258b08
block 59 4 672e8007
block 59 5 80427b07
block 59 6 8e507607
block 60 * ff4b280d
block 61 * ff606060
block 62 * ff606060
block 63 * ff9c7f4e
block 64 * ff866532
block 65 * 8f795f34
block 66 * 6b786b56
block 66 1 8f796c58
block 66 2 8f796c58
block 66 3 8f796c58
block 66 4 8f796c58
block 66 5 8f796c58
block 67 * ff7a7a7a
block 68 * ff9c7f4e
block 69 * 136a5940
block 70 * ff7d7d7d
block 71 * ffa3a3a3
block 72 * ff9c7f4e
block 73 * ff846b6b
block 74 * ff846b6b
block 75 * 135d3e26
block 76 * 19a74b29
block 77 * ff7d7d7d
block 78 * ffeffbfb
block 79 * 9f7dadff
block 80 * ffeffbfb
block 81 * c30d6318
block 82 * ff9ea4b0
block 83 * 8c94c065
block 84 * ff6b4937
block 85 * ff9c7f4e
block 86 * ffc07615
block 87 * ff6f3634
block 88 * ff544033
block 89 * ff8f7645
block 90 * bf590bc1
block 91 * ffc07615
block 92 * c3e4cdce
block 93 * ff979393
block 94 * ffa09393
block 95 0 7bffffff
block 95 1 7bd87e32
block 95 2 7bb24bd8
block 95 3 7b6599d8
block 95 4 7be4e432
block 95 5 7b7ecb18
block 95 6 7bf17ea4
block 95 7 7b4b4b4b
block 95 8 7b999999
block 95 9 7b4b7e99
block 95 10 7b7e3eb2
block 95 11 7b324bb2
block 95 12 7b654b32
block 95 13 7b657e32
block 95 14 7b993232
block 95 15 7b181818
block 96 * db7e5d2d
block 97 * ff7d7d7d
block 97 1 ff7a7a7a
block 97 2 ff7a7a7a
block 97 3 ff72776a
block 97 4 ff767676
block 97 5 ff767676
block 98 * ff7a7a7a
block 98 1 ff72776a
block 98 2 ff767676
block 98 3 ff767676
block 99 * ff8d6a53
block 99 0 ffcaab78
block 99 10 ffcaab78
block 99 11 ffcaab78
block 99 12 ffcaab78
block 99 13 ffcaab78
block 99 15 ffcfccc2
block 100 * ffb62524
block 100 0 ffcaab78
block 100 10 ffcaab78
block 100 11 ffcaab78
block 100 12 ffcaab78
block 100 13 ffcaab78
block 100 15 ffcfccc2
block 101 * 736d6c6a
block 102 * 46daf0f4
block 103 * ff979924
block 104 0 22009900
block 104 1 22139402
block 104 2 22268f04
block 104 3 22398a07
block 104 4 224c8509
block 104 5 2260810c
block 104 6 22737c0e
block 104 7 22867710
block 104 8 22007213
block 104 9 22136d15
block 104 10 22266918
block 104 11 2239641a
block 104 12 224c5f1c
block 104 13 22605a1f
block 104 14 22735521
block 104 15 22865124
block 105 0 22009900
block 105 1 22139402
block 105 2 22268f04
block 105 3 22398a07
block 105 4 224c8509
block 105 5 2260810c
block 105 6 22737c0e
block 105 7 22867710
block 105 8 22007213
block 105 9 22136d15
block 105 10 22266918
block 105 11 2239641a
block 105 12 224c5f1c
block 105 13 22605a1f
block 105 14 22735521
block 105 15 22865124
block 106 * 8a6f6f6f
block 107 * ff9c7f4e
block 108 * ff926356
block 109 * ff7a7a7a
block 110 * ff6f6369
block 111 * 930e3b16
block 112 * ff2c161a
block 113 * ff2c161a
block 114 * ff2c161a
block 115 * cc6f1211
block 115 1 786c0f16
block 115 2 786c0f16
block 116 * ff67403b
block 117 * 767c6751
block 118 * 6f454545
block 119 * bf590bc1
block 120 * ff597560
block 121 * ffdddfa5
block 122 * ff0c090f
block 123 * ff462b1a
block 124 * ff775937
block 125 * ff9c7f4e
block 125 1 ff674d2e
block 125 2 ffc3b37b
block 125 3 ff9a6e4d
block 125 4 ffa95b33
block 125 5 ff3d2712
block 125 9 ff674d2e
block 125 10 ffc3b37b
block 125 11 ff9a6e4d
block 125 12 ffa95b33
block 125 13 ff3d2712
block 126 * ff9c7f4e
block 126 1 ff674d2e
block 126 2 ffc3b37b
block 126 3 ff9a6e4d
block 126 4 ffa95b33
block 126 5 ff3d2712
block 126 9 ff674d2e
block 126 10 ffc3b37b
block 126 11 ff9a6e4d
block 126 12 ffa95b33
block 126 13 ff3d2712
block 127 * 8391501e
block 128 * ffdad29e
block 129 * ff6d8074
block 130 * ff14121d
block 131 * 2d8a8171
block 132 * 08818181
block 133 * ff51d975
block 134 * ff674d2e
block 135 * ffc3b37b
block 136 * ff9a6e4d
block 137 * ffb2896f
block 138 * ff74ddd7
block 139 * ff7a7a7a
block 139 1 ff677967
block 140 * 31764133
block 141 * 6f158002
block 141 1 0901ab10
block 141 2 1701bb0f
block 141 3 1701bb0f
block 141 4 3600be10
block 141 5 3600be10
block 141 6 3600be10
block 142 * 6922aa24
block 142 1 0901ab10
block 142 2 1701bb0f
block 142 3 1701bb0f
block 142 4 3600be10
block 142 5 3600be10
block 142 6 3600be10
block 143 * ff9c7f4e
block 144 * ff544033
block 145 * ff404040
block 146 * ff9c7f4e
block 147 * fff9ec4e
block 148 * ffdbdbdb
block 149 * ffa59594
block 149 0 ff9c9695
block 149 1 ff9c9695
block 149 2 ff9c9695
block 149 3 ff9c9695
block 149 4 ff9c9695
block 149 5 ff9c9695
block 149 6 ff9c9695
block 149 7 ff9c9695
block 150 * ffa59594
block 151 * ff82745e
block 152 * ffab1b09
block 153 * ff7d544f
block 154 * 6f454545
block 155 * ffece9e2
block 155 1 ffe7e4db
block 155 2 ffe8e5dd
block 155 3 ffe7e3db
block 155 4 ffe7e3db
block 156 * ffece9e2
block 157 * 9b685347
block 157 8 9b8d5146
block 157 9 9b8d5146
block 157 10 9b8d5146
block 157 11 9b8d5146
block 157 12 9b8d5146
block 157 13 9b8d5146
block 157 14 9b8d5146
block 157 15 9b8d5146
block 158 * ff606060
block 158 1 ff565656
block 158 9 ff565656
block 159 0 ffd1b2a1
block 159 1 ffa15325
block 159 2 ff95586c
block 159 3 ff716c89
block 159 4 ffba8523
block 159 5 ff677534
block 159 6 ffa14e4e
block 159 7 ff392a23
block 159 8 ff876a61
block 159 9 ff565b5b
block 159 10 ff764656
block 159 11 ff4a3b5b
block 159 12 ff4d3323
block 159 13 ff4c532a
block 159 14 ff8f3d2e
block 159 15 ff251610
block 160 0 7bffffff
block 160 1 7bd87e32
block 160 2 7bb24bd8
block 160 3 7b6599d8
block 160 4 7be4e432
block 160 5 7b7ecb18
block 160 6 7bf17ea4
block 160 7 7b4b4b4b
block 160 8 7b999999
block 160 9 7b4b7e99
block 160 10 7b7e3eb2
block 160 11 7b324bb2
block 160 12 7b654b32
block 160 13 7b657e32
block 160 14 7b993232
block 160 15 7b181818
block 161 * ff1b4609
block 162 * ff696359
block 162 0 ff9a5b40
block 162 1 ff4e3e29
block 162 2 ff9a5b40
block 162 3 ff4e3e29
block 162 5 ff342817
block 162 7 ff342817
block 162 9 ff342817
block 162 11 ff342817
block 162 13 ff342817
block 162 15 ff342817
block 163 * ffa95b33
block 164 * ff3d2712
block 165 * ff535353
block 166 * ffa31c1c
block 167 * ff6a4e33
block 167 1 ff656565
block 167 2 ffbcbcbc
block 167 3 ff791212
block 168 * 1770829a
block 169 * 118d9958
block 170 * ff9d7412
block 170 0 ffa88b10
block 170 1 ffa88b10
block 170 2 ffa88b10
block 170 3 ffa88b10
block 171 0 ffdddddd
block 171 1 ffdb7d3e
block 171 2 ffb350bc
block 171 3 ff6a8ac9
block 171 4 ffb1a627
block 171 5 ff41ae38
block 171 6 ffd08499
block 171 7 ff404040
block 171 8 ff9aa1a1
block 171 9 ff2e6e89
block 171 10 ff7e3db5
block 171 11 ff2e388d
block 171 12 ff4f321f
block 171 13 ff35461b
block 171 14 ff963430
block 171 15 ff191616
block 172 * ff965c42
block 173 * ff121212
block 174 * ffa5c2f5
block 175 * 33416d2b
block 175 1 568e9484
block 175 2 8a7a7a7a
block 175 3 9e7b7b7b
block 175 4 b9454003
block 175 5 9336583b
block 176 * ff634932
block 177 * 4b807f7e
block 178 * 75681b26
block 178 1 ff3c2029
block 179 * 79352c33
block 179 1 52322d32
block 179 2 752e292e
block 179 3 5b2d262d
block 179 4 70303031
block 179 5 522f2a30
block 180 * ffb7b7b7
block 181 * ffb7b7b7
block 182 * ff5e4b37
block 183 * ff715236
block 184 * 2b7f0000
block 185 * ffa8a8a8
block 186 * ffa8a8a8
block 187 * 957d0303
block 188 * ffc7c7c7
block 189 * ffc7c7c7
block 190 * ffbfbfbf
block 191 * ff6c6c6c
block 192 * ff6c6c6c
block 192 1 ff626262
block 192 4 ffb2af62
block 193 * ff7e7e7e
block 193 1 ff616161
block 194 * ffb57347
block 195 * ff7d7d7d
block 196 * ff7d7d7d
block 197 * ffa3a05a
block 198 * ffacaba8
block 199 * ff5f4a2d
block 200 * 17684e1e
block 201 * ffd1cece
block 202 * ff927749
block 203 0 ffbc70e1
block 203 1 ffd54b48
block 203 2 ff587338
block 203 3 ff7f543b
block 203 4 ff4654cd
block 203 5 ffb45ce9
block 203 6 ff47a7c8
block 203 7 ffa9a9a9
block 203 8 ff656565
block 203 9 fff3c0d1
block 203 10 ff5de84f
block 203 11 ffece43e
block 203 12 ffa4c2ef
block 203 13 ffe47de9
block 203 14 fff8b060
block 203 15 ffdfdfdf
block 204 * f4f0efee
block 205 * ffabbdc4
block 205 0 ff8bb2c6
block 205 1 ff8bb2c6
block 205 2 ffc0d2cf
block 205 3 ffb9c7c8
block 205 5 ffa1acad
block 205 8 ffc0d2cf
block 205 9 ff67403b
block 205 10 ffd4e5e7
block 205 11 ffd4e5e7
block 205 12 ffb9be81
block 205 13 ffb6c9ca
block 205 14 ffabbcc4
block 205 15 ffaebdbd
block 206 * ffa65944
block 206 1 ffc1c1c1
block 206 2 ffd15c00
block 206 3 ffc4c588
block 207 * ff6b6b6b
block 208 * ffd1cece
block 209 * ff644c2c
block 209 1 ffd4e5e7
block 209 2 ffbca7a9
block 209 4 ffc9d6d5
block 209 5 ffb19d9c
block 209 6 ffbec49e
block 209 7 ffa8bcc5
block 209 8 ffa5a8a1
block 209 9 ff8c8da1
block 210 * ffa56431
block 211 * ff616055
block 211 8 e75f5d52
block 211 9 e75f5d52
block 211 10 e75f5d52
block 211 11 e75f5d52
block 211 12 e75f5d52
block 211 13 e75f5d52
block 211 14 e75f5d52
block 211 15 e75f5d52
block 212 * 68686b62
block 213 * ff605e53
block 214 * ffe7e7e7
block 215 * ff929a9e
block 216 * ff323232
block 217 * 13a9472c
block 218 * 13b33715
block 219 * ff82412f
block 220 * ff82412f
block 221 * ffc8871b
block 222 * 66424527
block 223 * ff314021
block 224 * ff93702b
block 225 * ff5c5c5c
block 226 0 ffa6b0b3
block 226 1 ffd4e5e7
block 226 2 ffd4e5e7
block 226 3 ffd4e5e7
block 227 * ffd4e5e7
block 227 0 ffb5c2c5
block 227 3 ff4e4975
block 227 5 ffbac488
block 227 6 ffa7af74
block 227 7 ff4e4975
block 227 8 ff4e4975
block 227 9 ff4e4975
block 228 * ff7a876d
block 229 * ff878787
block 230 * ff847971
block 231 * ffd4e5e7
block 231 1 ffe7e7e7
block 231 2 ffe7e7e7
block 231 3 ffa1acad
block 231 4 ffb9c7c8
block 231 5 ffb9c7c8
block 231 11 ffc0d2cf
block 231 12 ffabbdc4
block 231 13 ffabbdc4
block 231 14 ffabbdc4
block 231 15 ffbbc9cb
block 232 1 ffaab7b9
block 232 2 ffacadaf
block 232 3 ffa69694
block 232 4 ff9c8e8d
block 232 5 ff9f8584
block 232 6 ffd4e5e7
block 233 * 3f3d3426
block 233 1 ff8b9495
block 233 2 ff868586
block 233 3 ff6b7175
block 233 5 3f6a6f71
block 233 6 3f665d5e
block 233 7 3f595d6e
block 233 9 3f6a6f71
block 233 10 3f665d5e
block 233 11 3f595d6e
block 233 13 3f6a6f71
block 233 14 3f665d5e
block 233 15 3f595d6e
block 234 * ffbc70e1
block 235 1 fe8a4f1f
block 236 * ff221002
block 236 1 ff221b17
block 236 5 ff221b17
block 236 9 ff221b17
block 236 13 ff0b0603
block 237 1 ff868374
block 237 2 ff8e8d8c
block 238 1 ffa76e3a
block 238 2 ffa7cfe0
block 238 3 ff9c8032
block 239 * b2ff6e00
block 240 * ff638328
block 241 * b2a3a3a3
block 242 * e8ffad1e
block 243 * e8aff1ff
block 244 * f8a7c971
block 245 * ffffffff
block 246 * b2ffffa7
block 247 * 8fef9800
block 248 * cbd57500
block 249 2 ff675333
block 251 1 ffb4b499
block 251 2 ff662109
block 251 3 ffa88b07
block 251 4 ff514515
block 251 5 ff100313
block 251 6 ffd8fcfc
block 251 7 ff384716
block 251 8 ff3e280b
block 252 * 13c5c5c5
block 253 * 13b70000
block 254 1 ffa97321
block 254 2 ffa97321
block 254 3 ff503b1a
block 254 4 ff543e1a
block 254 5 ff563f1b
block 254 6 ffa97321
block 254 7 ffa97321
block 255 * ff614c51
block 255 0 ff9f7163
block 255 1 ff9f7163
block 255 2 ff9f7163
block 255 3 ff9f7163
block 255 12 ff9f7163
block 255 13 ff9f7163
block 255 14 ff9f7163
block 255 15 ff9f7163
block 409 0 ff6e879a
block 409 1 ff6e695a
block 409 2 ff87a078
block 409 3 ffb99163
block 409 4 ff9b8e4b
block 409 5 ff4c463d
block 409 6 ff767e52
block 409 7 ff7b4d49
block 409 8 ff645e2d
block 409 9 ff312d28
block 409 10 ff603630
block 409 11 ff9f988f
block 409 12 ff93934c
block 409 13 ff544336
block 409 14 ff40664b
block 409 15 ff9f722d
block 410 * ffc38c7b
block 411 * ffc38c7b
block 412 * ffc38c7b
block 413 * ffc38c7b
block 414 * ff614c51
block 414 0 ff9f7163
block 414 1 ff9f7163
block 414 2 ff9f7163
block 414 3 ff9f7163
block 414 12 ff9f7163
block 414 13 ff9f7163
block 414 14 ff9f7163
block 414 15 ff9f7163
block 415 0 ff6e879a
block 415 1 ff6e695a
block 415 2 ff87a078
block 415 3 ffb99163
block 415 4 ff9b8e4b
block 415 5 ff4c463d
block 415 6 ff767e52
block 415 7 ff7b4d49
block 415 8 ff645e2d
block 415 9 ff312d28
block 415 10 ff603630
block 415 11 ff9f988f
block 415 12 ff93934c
block 415 13 ff544336
block 415 14 ff40664b
block 415 15 ff9f722d
block 416 * ffc38c7b
block 423 * ffc38c7b
block 424 * ffc38c7b
block 425 * ffc38c7b
block 426 * 6b61764a
block 427 * 9a265f0c
block 428 * 839f8d0f
block 430 1 ff4a1f0b
block 430 2 ffae672f
block 430 3 ff81827e
block 430 4 ffada52a
block 431 1 ffae672f
block 431 2 ffa57c35
block 431 3 ff92592c
block 431 4 ff4a1f0b
block 431 5 ffa57c35
block 431 6 ff61646d
block 431 7 ff81827e
block 432 1 ff41444a
block 432 2 ff416535
block 433 * 21c33538
block 433 0 198a6953
block 433 2 198a6953
block 433 4 198a6953
block 433 6 198a6953
block 433 8 198a6953
block 433 10 198a6953
block 433 12 198a6953
block 433 14 198a6953
block 434 * ff926356
block 436 1 ff364b7e
block 436 2 ff364b7e
block 437 * ffc977ef
block 437 1 ff77936c
block 437 2 ffbb6c6c
block 437 3 ffc1bcbc
block 437 4 ffa7b4c5
block 437 5 ffbb8d6c
block 437 11 ff667295
block 437 12 ff667297
block 439 * ff8e8e74
block 440 1 ff2c9ab5
block 440 2 ff232323
block 440 3 ff251be4
block 440 4 ffdf2eab
block 441 * 56262626
block 442 * ff505057
block 442 2 ff505154
block 443 1 7335424a
block 444 * ff505057
block 445 * ff7a787b
block 445 1 ff616469
block 445 2 ff7a7475
block 445 3 ff685d61
block 445 4 ff6c7c80
block 446 1 ff98989f
block 447 * ff505057
block 448 * e7b4b34f
block 449 * e74f93b4
block 450 * ff5f5067
block 451 * f4030303
block 452 * b2948f00
block 453 * f44e0000
block 454 * ffc1c1c1
block 455 * ffc1c1c1
block 456 * 479d6128
block 457 * ffa8a8a8
block 458 * ffc9c9c9
block 459 * ffcacaca
block 460 * 11ac9a5e
block 461 * cf8a6d3c
block 462 * ff8b7754
block 463 * ff8b7754
block 464 * ff8b7754
block 465 * ff8b7754
block 466 * ff8b7754
block 467 * ff8b7754
block 468 * ff8b7754
block 469 * ff8b7754
block 470 * ff8b7754
block 471 * ff8b7754
block 472 * ff8b7754
block 473 * 1377674c
block 474 * cf8f7140
block 475 * ff8b7754
block 476 * cf8f7140
block 477 * cf8a6d3c
block 478 * 13887346
block 479 * e56a6300
block 480 * bfababab
block 481 * 517b4f19
block 481 1 a2747474
block 481 2 4e787878
block 482 * ff909090
block 482 2 ff9a9a9a
block 482 3 ff433d40
block 482 4 ff1d1432
block 482 5 ff9d7b54
block 482 6 ff2c2c2c
block 482 7 ffcdcdcd
block 482 8 ff221101
block 482 9 ffd46f1b
block 482 10 fff1f1f1
block 482 11 ff727299
block 483 * ff222222
block 484 0 ff1e4b47
block 484 1 ff717171
block 484 2 ff103f22
block 484 3 ff8b9593
block 484 4 ff322022
block 484 5 ff373737
block 484 6 ff505050
block 484 7 ff9d7b54
block 484 8 ff575757
block 484 9 ff616161
block 484 10 ff616060
block 484 11 ff846d47
block 484 12 ff433d40
block 484 13 ff21403c
block 484 14 ff62492c
block 484 15 ff383838
block 485 0 ffe3e3e3
block 485 1 53bcbcbc
block 485 2 ffc3c3c3
block 485 3 ffb2b2b2
block 485 4 ff898989
block 485 5 ff4b4b4b
block 485 6 ff626262
block 485 7 ffb1851f
block 485 8 ff999999
block 485 9 ff737373
block 485 10 ff1d1915
block 485 11 c3241e34
block 485 12 c30e0e0e
block 485 13 ffa2a2a2
block 485 14 537e7e7e
block 485 15 ff828282
block 486 * 6b786b56
block 486 1 8f796c58
block 486 2 8f796c58
block 486 3 8f796c58
block 486 4 8f796c58
block 486 5 8f796c58
block 487 * 9f9c7c70
block 487 0 9f776c6c
block 487 1 9f776c6c
block 487 2 9f776c6c
block 487 3 9f776c6c
block 487 4 9f776c6c
